,A1,A2,A3
1,3.54E-01,4.71E-01,4.73E-01
2,2.93E-01,4.71E-01,4.74E-01
3,3.07E-01,5.67E-01,5.71E-01
4,2.62E-01,5.67E-01,5.72E-01
5,2.30E-01,5.76E-01,5.82E-01
6,1.99E-01,5.76E-01,5.83E-01
7,1.72E-01,5.77E-01,5.85E-01
8,1.49E-01,5.77E-01,5.86E-01
9,1.29E-01,5.77E-01,5.88E-01
10,1.12E-01,5.77E-01,5.89E-01
11,9.69E-02,5.77E-01,5.90E-01
12,8.39E-02,5.77E-01,5.91E-01
13,7.27E-02,5.77E-01,5.91E-01
14,6.29E-02,5.77E-01,5.92E-01
15,5.45E-02,5.77E-01,5.93E-01
16,4.72E-02,5.77E-01,5.94E-01
17,4.09E-02,5.77E-01,5.95E-01
18,3.54E-02,5.77E-01,5.96E-01
19,3.07E-02,5.77E-01,5.97E-01
20,2.65E-02,5.77E-01,5.98E-01
21,2.30E-02,5.77E-01,5.99E-01
22,1.99E-02,5.77E-01,6.00E-01
23,1.72E-02,5.77E-01,6.01E-01
24,1.49E-02,5.77E-01,6.02E-01
25,1.29E-02,5.77E-01,6.03E-01
26,1.12E-02,5.77E-01,6.04E-01
27,9.70E-03,5.77E-01,6.05E-01
28,8.40E-03,5.77E-01,6.06E-01
29,7.27E-03,5.77E-01,6.08E-01
30,6.30E-03,5.77E-01,6.09E-01
31,5.45E-03,5.77E-01,6.10E-01
32,4.72E-03,5.77E-01,6.11E-01
33,4.09E-03,5.77E-01,6.12E-01
34,3.54E-03,5.77E-01,6.13E-01
35,3.07E-03,5.77E-01,6.14E-01
